Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_103_1x20mm,1,Battery_Cell,
"C1, C12, C4, C5, C6",0805,5,100nF,C1711
"C10, C2",0805,2,100n,C1711
"C11, C9",0805,2,33p,C541516
C13,0805,1,10uF,C1711
C14,0805,1,0.1uF,C1711
C3,J_SD_Card-micro_socket_A,1,L-KLS1-TF-003-H1.85-R,
"C7, C8",CP_Elec_4x5.8,2,10uF/16V,C59932
"D1, D16",LED_D3.0mm,2,Led Red,C2295
D10,0805,1,RX,C2296
D11,0805,1,TX,C2296
D12,0805,1,RX_Slave,C2296
"D13, D2, D8",0805,3,1N4148,C85057
"D14, D15",SOT-23,2,SM712_SOT23,C32677
"D3, D4, D5, D6",D_SMB_Handsoldering,4,TVS_SMBJ28A,C113997
D7,LED_D3.0mm,1,LED,C2297
D9,0805,1,TX_Slave,C2296
"F1, F2, F3, F4, F5, F6, F7, F8",1206,8,150 mA,C20797
"F10, F11, F12, F13",1812,4,Fuse_Small,C12430
F9,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,1A/250VAC,
J1,"PhoenixContact_MSTBA_2,5_16-G-5,08_1x16_P5.08mm_Horizontal",1,Screw_Terminal_01x16,
J3,PinHeader_2x04_P2.54mm_Vertical,1,UPLOADER,
J4,"PhoenixContact_MSTBA_2,5_12-G-5,08_1x12_P5.08mm_Horizontal",1,Screw_Terminal_01x12,
PS1,Converter_ACDC_Hi-Link_HLK-5Mxx,1,HLK-5M05,C209907
"R1, R36, R37, R46, R47, R52, R53",0805,7,10K,C17414
"R10, R2, R3, R39, R43, R45, R5, R51, R6, R7, R9",0805,11,4.7K,C26022
"R11, R15, R19, R23",0805,4,100,C2828765
"R13, R14, R17, R18, R21, R22, R25, R26",0805,8,510k,C17733
"R27, R28, R31, R33, R59, R60, R65, R66",0805,8,1M,C26115
"R29, R30, R32, R34, R55, R56, R57, R58, R61, R62, R63, R64, R67, R68, R69, R70",0805,16,470,C317246
"R35, R4, R54, R8",0805,4,200,C17540
"R38, R48",1206,2,120,C17909
"R40, R42, R44, R49",0805,4,2.4k,C17526
"R41, R50",0805,2,56k,C137509
"RN1, RN2, RN3, RN4",R_Array_Convex_4x0603,4,10k,
SW1,SW_SPST_CK_RS282G05A3,1,RST,C231329
SW2,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x04,C840579
SW3,SW_SPST_CK_RS282G05A3,1,BOOT,C231329
SW4,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,FACTORY RST,C231329
U1,ESP32-WROOM-32U,1,ESP32-WROOM-32U,C328062
U11,SOT-223-3_TabPin2,1,AMS1117-33,C6186
U12,SSOP-20_4.4x6.5mm_P0.65mm,1,PCF8574ATS,
U13,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
"U14, U16",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX485E,C19738
U15,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,C6811
"U17, U5",SMDIP-4_W9.53mm_Clearance8mm,2,PC817,C2833077
"U18, U19, U20, U6, U7, U8",SMDIP-4_W9.53mm_Clearance8mm,6,PIC817,C2833077
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,CAT24C32WI-G,C81193
U3,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231SN#,C9866
U4,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,LM324,C7943
U9,W5500,1,W5500_V2,
