Designator,Mid X,Mid Y,Rotation,Layer
BT1,123.823501,-61.081,270.0,top
C1,136.29,-99.016,270.0,top
C10,128.4835,-133.046,180.0,top
C11,169.0235,-88.276,270.0,top
C12,140.16,-99.016,270.0,top
C13,140.3735,-71.14,90.0,top
C14,138.4135,-71.14,90.0,top
C2,128.4835,-135.006,180.0,top
C3,145.448532,-54.184145,0.0,top
C4,133.0635,-51.826,180.0,top
C5,133.0635,-49.866,180.0,top
C6,152.3115,-71.14,90.0,top
C7,127.0235,-129.536,0.0,top
C8,127.0235,-117.156,0.0,top
C9,171.8935,-74.976,90.0,top
D1,115.0085,-118.706,0.0,top
D10,159.9735,-101.626,270.0,top
D11,163.1935,-74.801,270.0,top
D12,163.9635,-93.676,270.0,top
D13,167.0535,-88.256,90.0,top
D14,180.9435,-118.016,90.0,top
D15,180.926,-110.086,270.0,top
D16,115.0085,-123.906,0.0,top
D2,130.2835,-50.786,270.0,top
D3,102.4235,-108.346,180.0,top
D4,102.471,-86.896,180.0,top
D5,102.471,-73.536,180.0,top
D6,102.4685,-58.106,180.0,top
D7,115.0085,-113.506,0.0,top
D8,169.9135,-74.931,90.0,top
D9,160.8035,-88.276,270.0,top
F1,100.1935,-97.866,0.0,top
F10,186.0835,-114.046,0.0,top
F11,186.0835,-118.006,0.0,top
F12,186.0835,-106.116,0.0,top
F13,186.0835,-110.076,0.0,top
F2,100.1935,-95.446,0.0,top
F3,100.2135,-83.466,0.0,top
F4,100.221,-81.156,0.0,top
F5,100.221,-68.246,0.0,top
F6,100.2035,-65.806,0.0,top
F7,100.2185,-52.772,0.0,top
F8,100.2085,-49.226,0.0,top
F9,181.4035,-132.266,270.0,top
J1,197.9635,-91.696,90.0,top
J3,128.5585,-86.826,180.0,top
J4,91.6935,-79.046,270.0,top
PS1,158.0035,-123.6335,180.0,top
R1,138.23,-99.016,270.0,top
R10,161.7985,-48.561,270.0,top
R11,99.576,-102.996,0.0,top
R13,99.5835,-104.946,0.0,top
R14,102.6035,-103.93,90.0,top
R15,99.621,-92.066,0.0,top
R17,99.621,-90.096,0.0,top
R18,104.521,-83.636,0.0,top
R19,99.621,-70.326,0.0,top
R2,170.9435,-60.776,0.0,top
R21,99.621,-76.756,0.0,top
R22,104.6785,-65.806,180.0,top
R23,99.6185,-54.906,0.0,top
R25,99.6185,-61.306,0.0,top
R26,104.5835,-49.226,180.0,top
R27,187.616,-93.326,0.0,top
R28,187.626,-99.176,0.0,top
R29,187.626,-101.126,180.0,top
R3,167.2635,-60.766,180.0,top
R30,187.626,-95.276,180.0,top
R31,187.616,-87.486,0.0,top
R32,187.616,-89.426,180.0,top
R33,187.616,-81.646,0.0,top
R34,187.606,-83.596,180.0,top
R35,128.5335,-113.766,180.0,top
R36,180.9735,-114.056,180.0,top
R37,168.8985,-106.476,180.0,top
R38,188.1335,-115.926,270.0,bottom
R39,163.946,-101.766,90.0,top
R4,152.475,-99.27,90.0,top
R40,161.9935,-101.766,90.0,top
R41,167.9535,-74.9335,90.0,top
R42,165.0935,-74.9335,90.0,top
R43,161.2935,-74.916,270.0,top
R44,163.0535,-96.356,0.0,top
R45,162.0135,-93.506,90.0,top
R46,180.9835,-106.096,0.0,top
R47,171.4435,-88.296,90.0,top
R48,188.1735,-108.166,270.0,bottom
R49,162.7735,-88.106,270.0,top
R5,167.6385,-49.686,90.0,top
R50,165.1535,-88.256,90.0,top
R51,162.7435,-83.296,270.0,top
R52,154.3335,-71.156,90.0,top
R53,142.6635,-99.006,270.0,top
R54,150.5135,-99.266,90.0,top
R55,187.616,-97.226,180.0,top
R56,187.616,-103.076,180.0,top
R57,187.616,-91.376,180.0,top
R58,187.606,-85.546,180.0,top
R59,187.616,-69.996,0.0,top
R6,169.5385,-49.686,90.0,top
R60,187.616,-75.826,0.0,top
R61,187.616,-77.766,180.0,top
R62,187.616,-71.946,180.0,top
R63,187.616,-79.696,180.0,top
R64,187.616,-73.896,180.0,top
R65,187.616,-64.156,0.0,top
R66,187.616,-58.306,0.0,top
R67,187.616,-66.096,0.0,top
R68,187.616,-60.246,0.0,top
R69,187.616,-68.056,180.0,top
R7,171.4385,-49.6835,90.0,top
R70,187.616,-62.196,180.0,top
R8,133.0635,-53.806,0.0,top
R9,164.3785,-48.561,270.0,top
RN1,116.7435,-82.681,90.0,top
RN2,116.7435,-97.301,270.0,top
RN3,110.3335,-97.301,270.0,top
RN4,110.3335,-82.711,270.0,top
SW1,152.25,-103.62,0.0,top
SW2,127.0435,-102.246,180.0,top
SW3,146.3435,-71.076,180.0,top
SW4,178.7435,-50.751,0.0,top
U1,146.0885,-86.506,90.0,top
U11,125.6335,-123.336,0.0,top
U12,168.626,-67.296,180.0,top
U13,120.4435,-90.126,0.0,top
U14,168.9085,-102.616,270.0,top
U15,168.4635,-81.471,0.0,top
U16,168.8685,-94.591,270.0,top
U17,180.086,-77.746,180.0,top
U18,180.086,-71.926,180.0,top
U19,180.086,-66.106,180.0,top
U2,169.4885,-55.406,180.0,top
U20,180.086,-60.156,180.0,top
U3,159.8885,-56.301,180.0,top
U4,113.6435,-90.141,0.0,top
U5,180.096,-101.214,180.0,top
U6,180.086,-95.276,180.0,top
U7,180.086,-89.426,180.0,top
U8,180.086,-83.566,180.0,top
U9,84.8285,-135.071,90.0,top
